Marine Animal ID,Marine Animal Name,Population ID,Population Name,Species ID,Specices Name
107,King (Gulf of Carpentaria),41,Salmon,8,Other Species
108,Blue (East coast),41,Salmon,8,Other Species
109,Blue (Gulf of Carpentaria),41,Salmon,8,Other Species
110,Trevally (All),42,Trevally ,8,Other Species
111,Amberjack,42,Trevally ,8,Other Species
112,Samsonfish,42,Trevally ,8,Other Species
113,Swallowtail dart,42,Trevally ,8,Other Species
114,Giant queenfish,42,Trevally ,8,Other Species
115,Yellowtail kingfish,42,Trevally ,8,Other Species
116,Trochus (All),43,Trochus,8,Other Species
117,Tropical rock lobster (All),44,Tropical rock lobster,8,Other Species
118,Painted crayfish,44,Tropical rock lobster,7,Tropical rock lobster
119,Red Champagne Lobster,44,Tropical rock lobster,8,Other Species
120,Wahoo (All),45,Wahoo,8,Other Species
121,Sand (summer),46,Whiting,8,Other Species
122,Goldenline ,46,Whiting,8,Other Species
123,Northern,46,Whiting,8,Other Species
124,Trumpeter (winter),46,Whiting,8,Other Species
125,Dorab Wolf herring (All),47,Dorab Wolf herring,8,Other Species
126,Beach worm,48,Worms,8,Other Species
127,Cribb Island worms,48,Worms,8,Other Species
128,Southern herring,49,Tidal bait species,8,Other Species
129,Common hardyhead,49,Tidal bait species,8,Other Species
130,Australian sardine,49,Tidal bait species,8,Other Species
131,Australian anchovy,49,Tidal bait species,8,Other Species
132,Silver biddy,49,Tidal bait species,8,Other Species
133,Saltwater yabby,49,Tidal bait species,8,Other Species
134,Soldier crab,49,Tidal bait species,8,Other Species
135,Non-regulated worms,49,Tidal bait species,8,Other Species
136,"Mullet   (excluding diamondscale,  sea and freshwater)",49,Tidal bait species,8,Other Species
137,Cuttlefish or squid  (excluding tiger squid),49,Tidal bait species,8,Other Species
138,Smooth-clawed rock crab,49,Tidal bait species,8,Other Species
139,Yellowtail pike,49,Tidal bait species,8,Other Species
