Marine Animal ID,Marine Animal Name,Size limit min (cm),Size limit max (cm),Weight limit (g),Combined possession limit,Special limits,Population ID,Species Name
103,Snapper (All),35,,,,4 per person with no more than 1 over 70cm / 8 per boat with no more than 2 over 70cm (with 2 or more people on board),38,Snapper
104,Tailor (All),35,,,20,,39,Other Species
105,Teraglin (All),38,,,5,,40,Other Species
106,King (East coast),65,,,5,,41,Other Species
107,King (Gulf of Carpentaria),60,,,5,,41,Other Species
108,Blue (East coast),40,,,10,,41,Other Species
109,Blue (Gulf of Carpentaria),40,,,20,,41,Other Species
110,Trevally (All),,,,20,,42,Other Species
111,Amberjack,50,,,2,,42,Other Species
112,Samsonfish,50,,,2,,42,Other Species
113,Swallowtail dart,30,,,30,,42,Other Species
114,Giant queenfish,50,,,5,,42,Other Species
115,Yellowtail kingfish,60,,,2,,42,Other Species
116,Trochus (All),8,12.5,,30,,43,Other Species
117,Tropical rock lobster (All),,,,5 per person / 10 per boat in total of all species,,44,Other Species
118,Painted crayfish,,,,5 per person / 10 per boat in total of all species,"11.5cm tail min, 9cm carapace min",44,Tropical rock lobster
119,Red Champagne Lobster,7.5,,,5 per person / 10 per boat in total of all species,,44,Other Species
120,Wahoo (All),75,,,2,,45,Other Species
121,Sand (summer),23,,,30,,46,Other Species
122,Goldenline?,,,,50,,46,Other Species
123,Northern,,,,10,,46,Other Species
124,Trumpeter (winter),,,,30,,46,Other Species
125,Dorab?Wolf herring (All),,,,50,,47,Other Species
126,Beach worm,,,,,,48,Other Species
127,Cribb Island worms,,,,,,48,Other Species
128,Southern herring,,,,,,49,Other Species
129,Common hardyhead,,,,,,49,Other Species
130,Australian sardine,,,,,,49,Other Species
131,Australian anchovy,,,,,,49,Other Species
132,Silver biddy,,,,,,49,Other Species
133,Saltwater yabby,,,,,,49,Other Species
134,Soldier crab,,,,,,49,Other Species
135,Non-regulated worms,,,,,,49,Other Species
136,"Mullet?? (excluding diamondscale,??sea and freshwater)",,,,50,,49,Other Species
137,Cuttlefish or squid??(excluding tiger squid),,,,50,,49,Other Species
138,Smooth-clawed rock crab,,,,,,49,Other Species
139,Yellowtail pike,,,,50,,49,Other Species
