Marine Animal ID,Marine Animal Name,Population ID,Population Name,Species ID,Specices Name,,Size limit min (cm),Size limit max (cm)
92,Sawfish (All),35,Sawfish,8,Other Species,,,
93,Sea cucumber (All),36,Sea cucumber,8,Other Species,,,
94,Black teatfish,36,Sea cucumber,8,Other Species,,,
95,White teatfish,36,Sea cucumber,8,Other Species,,,
96,SharksAll),37,Sharks,8,Other Species,,,150
97,Grey reef shark,37,Sharks,8,Other Species,,,150
98,Whitetip reef shark,37,Sharks,8,Other Species,,,150
99,White shark,37,Sharks,8,Other Species,,,
100,Sand tiger shark,37,Sharks,8,Other Species,,,
101,Speartooth shark,37,Sharks,8,Other Species,,,
102,Hammerhead sharks,37,Sharks,8,Other Species,,,
103,SnapperAll),38,Snapper,4,Snapper,,40,
104,Tailor (All),39,Tailor,8,Other Species,,40,
105,Teraglin (All),40,Teraglin,8,Other Species,,40,
106,King (East coast),41,Salmon,8,Other Species,,70,
107,KingGulf of Carpentaria),41,Salmon,8,Other Species,,60,
108,BlueEast coast),41,Salmon,8,Other Species,,40,
109,Blue (Gulf of Carpentaria),41,Salmon,8,Other Species,,40,
110,Trevally (All),42,Trevally?,8,Other Species,,,
111,Amberjack,42,Trevally?,8,Other Species,,50,
112,Samsonfish,42,Trevally?,8,Other Species,,50,
113,Swallowtail dart,42,Trevally?,8,Other Species,,30,
114,Giant queenfish,42,Trevally?,8,Other Species,,50,
115,Yellowtail kingfish,42,Trevally?,8,Other Species,,60,
116,Trochus (All),43,Trochus,8,Other Species,,10,10
117,Tropical rock lobster (All),44,Tropical rock lobster,8,Other Species,,,
118,Painted crayfish,44,Tropical rock lobster,7,Tropical rock lobster,,,
119,Red Champagne Lobster,44,Tropical rock lobster,8,Other Species,,10,
120,WahooAll),45,Wahoo,8,Other Species,,80,
121,Sand (summer),46,Whiting,8,Other Species,,20,
122,Goldenline ,46,Whiting,8,Other Species,,,
123,Northern,46,Whiting,8,Other Species,,,
124,Trumpeterwinter),46,Whiting,8,Other Species,,,
125,Dorab Wolf herring (All),47,Dorab?Wolf herring,8,Other Species,,,
126,Beach worm,48,Worms,8,Other Species,,,
127,Cribb Island worms,48,Worms,8,Other Species,,,
128,Southern herring,49,Tidal bait species,8,Other Species,,,
129,Common hardyhead,49,Tidal bait species,8,Other Species,,,
130,Australian sardine,49,Tidal bait species,8,Other Species,,,
131,Australian anchovy,49,Tidal bait species,8,Other Species,,,
132,Silver biddy,49,Tidal bait species,8,Other Species,,,
133,Saltwater yabby,49,Tidal bait species,8,Other Species,,,
134,Soldier crab,49,Tidal bait species,8,Other Species,,,
135,Non-regulated worms,49,Tidal bait species,8,Other Species,,,
136,"Mullet (excluding diamondscale, sea and freshwater)",49,Tidal bait species,8,Other Species,,,
137,Cuttlefish or squid(excluding tiger squid),49,Tidal bait species,8,Other Species,,,
138,Smooth-clawed rock crab,49,Tidal bait species,8,Other Species,,,
139,Yellowtail pike,49,Tidal bait species,8,Other Species,,,
